"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 06 09:06:53 MSK 2024","Tue Feb 06 09:07:07 MSK 2024","13923","","Sauce Tests","","","","Login Test",""
"passed","Tue Feb 06 09:03:50 MSK 2024","Tue Feb 06 09:03:56 MSK 2024","5388","","My Login application","","","","should login with valid credentials",""
